Legislation Number,CurrentState,PresidentSigned,WhatIsIt,ConstitutionalVibe,DateIntroduced,DateCommitteConsidered,DateFloorConsidered,DatePassedOneChamber,DatePassedBothChambers,DatePresidentDecide,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Number of Cosponsors,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Number of Related Bills,Related Bill,Related Bill,Related Bill Relationships Identified by,Related Bill Relationships Identified by,Related Bill Latest Action,Related Bill Latest Action,Latest Summary,Amends Bill,Date Offered,Date Submitted,Amendment Text (Latest)
H.R. 247,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/247,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to expand eligibility for the refundable credit for coverage under a qualified health plan.,"Underwood, Lauren [Rep.-D-IL-14] (Introduced 01/09/2025)",Democratic,1/9/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/9/2025,"Castor, Kathy [Rep.-D-FL-14]","Schakowsky, Janice D. [Rep.-D-IL-9]","DeGette, Diana [Rep.-D-CO-1]","Grijalva, Raúl M. [Rep.-D-AZ-7]","Pettersen, Brittany [Rep.-D-CO-7]","Barragán, Nanette Diaz [Rep.-D-CA-44]","Panetta, Jimmy [Rep.-D-CA-19]","Hoyer, Steny H. [Rep.-D-MD-5]","Norton, Eleanor Holmes [Del.-D-DC]","Titus, Dina [Rep.-D-NV-1]","Morelle, Joseph D. [Rep.-D-NY-25]","Tonko, Paul [Rep.-D-NY-20]","Moore, Gwen [Rep.-D-WI-4]","Stevens, Haley M. [Rep.-D-MI-11]","DelBene, Suzan K. [Rep.-D-WA-1]","Hoyle, Val T. [Rep.-D-OR-4]","Johnson, Henry C. ""Hank"" [Rep.-D-GA-4]","Budzinski, Nikki [Rep.-D-IL-13]","Pocan, Mark [Rep.-D-WI-2]","Beyer, Donald S. [Rep.-D-VA-8]","Horsford, Steven [Rep.-D-NV-4]","Amo, Gabe [Rep.-D-RI-1]","Scanlon, Mary Gay [Rep.-D-PA-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 246,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/246,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to increase the limitation on the amount individuals can deduct for certain State and local taxes.,"Underwood, Lauren [Rep.-D-IL-14] (Introduced 01/09/2025)",Democratic,1/9/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/9/2025,"Casten, Sean [Rep.-D-IL-6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 245,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/245,119th Congress (2025-2026),"To require any applicant for a Federal grant to submit a certification that such applicant is not in violation of section 274(a) of the Immigration and Nationality Act, and for other purposes.","Foxx, Virginia [Rep.-R-NC-5] (Introduced 01/09/2025)",Republican,1/9/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/9/2025,"Sessions, Pete [Rep.-R-TX-17]","Moolenaar, John R. [Rep.-R-MI-2]","Green, Mark E. [Rep.-R-TN-7]","McCaul, Michael T. [Rep.-R-TX-10]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 244,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/244,119th Congress (2025-2026),"To amend title 10, United States Code, to provide eligibility for TRICARE Select to veterans with service-connected disabilities, and for other purposes.","Steube, W. Gregory [Rep.-R-FL-17] (Introduced 01/09/2025)",Republican,1/9/2025,"House - Armed Services, Veterans' Affairs","Referred to the Committee on Armed Services, and in addition to the Committee on Veterans' Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/9/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 243,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/243,119th Congress (2025-2026),"To prohibit United States recognition of Bidzina Ivanishvili or any Government of Georgia that is led by Bidzina Ivanishvili, and for other purposes.","Wilson, Joe [Rep.-R-SC-2] (Introduced 01/09/2025)",Republican,1/9/2025,"House - Foreign Affairs, Judiciary",Sponsor introductory remarks on measure. (CR H189),1/16/2025,"Cohen, Steve [Rep.-D-TN-9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 242,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/242,119th Congress (2025-2026),"To require annual surveys of Federal employee managers, and for other purposes.","Sessions, Pete [Rep.-R-TX-17] (Introduced 01/09/2025)",Republican,1/9/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/9/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 241,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/241,119th Congress (2025-2026),"To amend title 38, United States Code, to provide for access standards with respect to the provision by the Department of Veterans Affairs of hospital care, medical services, or extended care services that are applicable to certain veterans with mental disorders.","Yakym, Rudy [Rep.-R-IN-2] (Introduced 01/09/2025)",Republican,1/9/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/9/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 240,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/240,119th Congress (2025-2026),To amend the Fair Labor Standards Act of 1938 to provide for the preemption of certain State overtime laws for agricultural employees.,"Tenney, Claudia [Rep.-R-NY-24] (Introduced 01/07/2025)",Republican,1/7/2025,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,1/7/2025,"Langworthy, Nicholas A. [Rep.-R-NY-23]","LaMalfa, Doug [Rep.-R-CA-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 239,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/239,119th Congress (2025-2026),"To direct the heads of certain departments and agencies of the Federal Government to publicly disclose all assassination records and information relevant to the assassination of President John F. Kennedy, and for other purposes.","Schweikert, David [Rep.-R-AZ-1] (Introduced 01/07/2025)",Republican,1/7/2025,"House - Oversight and Government Reform, Judiciary, Ways and Means, Foreign Affairs, Armed Services, Intelligence (Permanent Select)","Referred to the Committee on Oversight and Government Reform, and in addition to the Committees on the Judiciary, Ways and Means, Foreign Affairs, Armed Services, and Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 238,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/238,119th Congress (2025-2026),"To amend the Federal Food, Drug, and Cosmetic Act to clarify that artificial intelligence and machine learning technologies can qualify as a practitioner eligible to prescribe drugs if authorized by the State involved and approved, cleared, or authorized by the Food and Drug Administration, and for other purposes.","Schweikert, David [Rep.-R-AZ-1] (Introduced 01/07/2025)",Republican,1/7/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 237,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/237,119th Congress (2025-2026),"To amend the Federal Food, Drug, and Cosmetic Act to deem foods containing xylitol as misbranded unless the label or labeling of such foods contains a warning specifying the toxic effects of xylitol for dogs if ingested, and for other purposes.","Schweikert, David [Rep.-R-AZ-1] (Introduced 01/07/2025)",Republican,1/7/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/7/2025,"Stanton, Greg [Rep.-D-AZ-4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 236,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/236,119th Congress (2025-2026),"To prohibit certain telework employees from receiving certain annual adjustments to pay schedules, and for other purposes.","Newhouse, Dan [Rep.-R-WA-4] (Introduced 01/07/2025)",Republican,1/7/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/7/2025,"Nunn, Zachary [Rep.-R-IA-3]","Meuser, Daniel [Rep.-R-PA-9]","Weber, Randy K. Sr. [Rep.-R-TX-14]","Boebert, Lauren [Rep.-R-CO-4]","Timmons, William R. [Rep.-R-SC-4]","Ellzey, Jake [Rep.-R-TX-6]","Hinson, Ashley [Rep.-R-IA-2]","Collins, Mike [Rep.-R-GA-10]","Malliotakis, Nicole [Rep.-R-NY-11]","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]","Finstad, Brad [Rep.-R-MN-1]","Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3]","Fallon, Pat [Rep.-R-TX-4]","Ciscomani, Juan [Rep.-R-AZ-6]","LaMalfa, Doug [Rep.-R-CA-1]","Rogers, Harold [Rep.-R-KY-5]","Barrett, Tom [Rep.-R-MI-7]","Harris, Andy [Rep.-R-MD-1]","Hudson, Richard [Rep.-R-NC-9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 235,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/235,119th Congress (2025-2026),"To recognize the Margaret Woodbury Strong Museum in Rochester, New York.","Morelle, Joseph D. [Rep.-D-NY-25] (Introduced 01/07/2025)",Democratic,1/7/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/7/2025,"Langworthy, Nicholas A. [Rep.-R-NY-23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 234,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/234,119th Congress (2025-2026),"To allow certain veterans to use high occupancy vehicle lanes, including toll lanes.","Malliotakis, Nicole [Rep.-R-NY-11] (Introduced 01/07/2025)",Republican,1/7/2025,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,1/7/2025,"Baird, James R. [Rep.-R-IN-4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 233,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/233,119th Congress (2025-2026),To prohibit the availability of Federal funds to institutions of higher education that conduct painful biomedical research on dogs and cats.,"Malliotakis, Nicole [Rep.-R-NY-11] (Introduced 01/07/2025)",Republican,1/7/2025,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 232,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/232,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to modify the limitation on the amount individuals can deduct for certain State and local taxes.,"Lawler, Michael [Rep.-R-NY-17] (Introduced 01/07/2025)",Republican,1/7/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 231,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/231,119th Congress (2025-2026),"To amend the Energy and Water Development and Related Agencies Appropriations Act, 2015, to reauthorize the Colorado River System conservation pilot program.","Hageman, Harriet M. [Rep.-R-WY-At Large] (Introduced 01/07/2025)",Republican,1/7/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 230,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/230,119th Congress (2025-2026),"To prohibit the implementation of the Approved Resource Management Plan Amendment for the Buffalo, Wyoming Field Office of the Bureau of Land Management.","Hageman, Harriet M. [Rep.-R-WY-At Large] (Introduced 01/07/2025)",Republican,1/7/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 229,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/229,119th Congress (2025-2026),To prohibit the implementation of the Rock Springs Field Office Record of Decision and Approved Resource Management Plan.,"Hageman, Harriet M. [Rep.-R-WY-At Large] (Introduced 01/07/2025)",Republican,1/7/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 228,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/228,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to increase and adjust for inflation the above-the-line deduction for teachers.,"Griffith, H. Morgan [Rep.-R-VA-9] (Introduced 01/07/2025)",Republican,1/7/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 227,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/227,119th Congress (2025-2026),"To allow a period in which members of the clergy may revoke their exemption from Social Security coverage, and for other purposes.","Fong, Vince [Rep.-R-CA-20] (Introduced 01/07/2025)",Republican,1/7/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/7/2025,"Thompson, Mike [Rep.-D-CA-4]","Kelly, Mike [Rep.-R-PA-16]","Ciscomani, Juan [Rep.-R-AZ-6]","LaHood, Darin [Rep.-R-IL-16]","DelBene, Suzan K. [Rep.-D-WA-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 226,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/226,119th Congress (2025-2026),To take certain Federal lands in Tennessee into trust for the benefit of the Eastern Band of Cherokee Indians.,"Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3] (Introduced 01/07/2025)",Republican,1/7/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 225,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/225,119th Congress (2025-2026),"To require the Inspector General of the Department of Housing and Urban Development to testify before the Congress annually, and for other purposes.","De La Cruz, Monica [Rep.-R-TX-15] (Introduced 01/07/2025)",Republican,1/7/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/7/2025,"Emmer, Tom [Rep.-R-MN-6]","Rose, John W. [Rep.-R-TN-6]","Lawler, Michael [Rep.-R-NY-17]","Meuser, Daniel [Rep.-R-PA-9]","Crenshaw, Dan [Rep.-R-TX-2]","Hageman, Harriet M. [Rep.-R-WY-At Large]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 224,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/224,119th Congress (2025-2026),"To amend section 102(a)(20) of the Housing and Community Development Act of 1974 to require the exclusion of service-connected disability compensation when determining whether a person is a person of low and moderate income, a person of low income, or a person of moderate income, and for other purposes.","De La Cruz, Monica [Rep.-R-TX-15] (Introduced 01/07/2025)",Republican,1/7/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/7/2025,"Sherman, Brad [Rep.-D-CA-32]","Emmer, Tom [Rep.-R-MN-6]","Crenshaw, Dan [Rep.-R-TX-2]","Ciscomani, Juan [Rep.-R-AZ-6]","Lawler, Michael [Rep.-R-NY-17]","Meuser, Daniel [Rep.-R-PA-9]","Fitzpatrick, Brian K. [Rep.-R-PA-1]","Sessions, Pete [Rep.-R-TX-17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 223,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/223,119th Congress (2025-2026),To prohibit funding for the implementation and enforcement of Federal red flag orders.,"Crenshaw, Dan [Rep.-R-TX-2] (Introduced 01/07/2025)",Republican,1/7/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/7/2025,"Moore, Barry [Rep.-R-AL-1]","Donalds, Byron [Rep.-R-FL-19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 222,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/222,119th Congress (2025-2026),"To establish a national commission on fiscal responsibility and reform, and for other purposes.","Case, Ed [Rep.-D-HI-1] (Introduced 01/07/2025)",Democratic,1/7/2025,"House - Budget, Rules","Referred to the Committee on the Budget, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/7/2025,"Womack, Steve [Rep.-R-AR-3]","Peters, Scott H. [Rep.-D-CA-50]","Nunn, Zachary [Rep.-R-IA-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
